이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
11시10분쯤 동작불 리셋하니 서비스준비중 관제에 상태점검요청 som보드 불량의심스럽다하며기술지원요청하겠다함고객사방문후 점검하니 som보드불량 맞는것 같아 관제에 문의하니 아직 답변없다함 16시경 연락와 10일 방문예정이라해서 고객사에 전화로 10일방문예정양해말씀드리니 그날와서 점검하라함 제조사에도 꼭 방문 부탁드림,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),Xavier(SW응용부 보드) 불량복구(HW),LG직원방문해서 SOM보드교체 후 정상작동,LG 서빙로봇 판매
13번테이블 서빙시 중간 돌아옴,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),양호,베어 서빙로봇
15번 테이블에서 주행불량 발생,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블 재배치로 서빙포인트 수정,베어 서빙로봇
15일 카운터 재배치로 맵 재설정 요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),정상,베어 서비스로봇2 임대형
16번 17번 테이블 위치 보정,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),"16번, 17번 위치 보정",LG 서빙로봇 판매
16번테이블 장애물,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),,베어 서빙로봇
19번 근처테이블 간헐적 오류,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),node 및 금지구역 수정,LG서빙로봇(고객)
19번 부딪힘 긴급방문,고객 조작 미숙,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),"목적지수정,재부팅",LG 서빙로봇 판매
1대 WIFI 불통,로봇 에러(재부팅 필요),설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),wifi 불가 리셋복구,LG 서빙로봇
1번 RGB카메라 불량으로위치마커 스캔불량로봇사용불가,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),LG사리언스파크 임시로봇으로 교체,LG 서빙로봇 판매
1번로봇 주행중 오류,로봇 에러(재부팅 필요),설치 / 맵 설정,고객환경(변화),맵 보정(설정),로봇위치 제설정 및 대기장소 변경,베어 서빙로봇
1번테이블 도착불,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),468610,LG 서빙로봇 판매
1세대 주방앞 길막힘 현상,"맵핑오류, 라이다 틀어짐",설치 / 맵 설정,고객환경(변화),맵 보정(설정),고정장애물 처리,베어 서빙로봇
1세대 주방앞 길막힘 현상,"맵핑오류, 라이다 틀어짐",설치 / 맵 설정,고객환경(변화),맵 보정(설정),고정장애물 처리,베어 서빙로봇
1층 ~ 4층 멀티멥 설정 요청,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),기타(외부시스템),복층설치요망,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
1층 로봇 방역중 멈춤,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),로보수재배치,베어로봇틱스 임대형 방역로봇
