이슈,원인,조치결과
서빙간혹 멈춤,서빙간혹 멈춤,
위치 잃고목적지로 가지 않음,위치 잃고목적지로 가지 않음,정상작동
서빙로봇 움직이지 않음,서빙로봇 움직이지 않음,
대기장소 변경,대기장소 변경,
서빙장소 변경,서빙장소 변경,서빙장소변경
충전불,충전불,충전불
협소한 장소에 맵 수정하여 운행하도록 요청함,협소한 장소에 맵 수정하여 운행하도록 요청함,맵수정요청
서빙출발시 멀티로봇 스탠바이 위치 앞으로 가서 다시 목적지로 출발합니다,서빙출발시 멀티로봇 스탠바이 위치 앞으로 가서 다시 목적지로 출발합니다,멀티로봇 스탠바이 위치 변경
로봇이 스탠바이 위치로 이동후 목적지 이동 현상 발생,로봇이 스탠바이 위치로 이동후 목적지 이동 현상 발생,멀티로봇 스탠바이 위치 변경
서빙출발시 멀티로봇 스탠바이 위치에 가서 다시 목적지로 출발합니다,서빙출발시 멀티로봇 스탠바이 위치에 가서 다시 목적지로 출발합니다,멀티로봇 스탠바이 위치 변경
점검 및 바닥위치 변경,점검 및 바닥위치 변경,매장내 이격부분조치 및 대기스티커 교체
점검 및 대기위치 작업,점검 및 대기위치 작업,테이블 위치조정 및 대기위치표시 작업
자동복귀 불가,자동복귀 불가,무게초기화 멀티설정
방역로봇 잡음 심함,방역로봇 잡음 심함,바닥마찰잡음
사용중 멈춤 현상,사용중 멈춤 현상,사용미숙
바닥 스티커 재 부착 요청,바닥 스티커 재 부착 요청,바닥 테이블위치 스티커 재 부착
사용중 끈김,사용중 끈김,기타 사물 재배치 오류  발생
로봇 음식내리기전에  저절로 돌아옵니다,로봇 음식내리기전에  저절로 돌아옵니다,동작설정 복귀 타이머 off
서빙포인트근처 파티션제거로 로봇에러,서빙포인트근처 파티션제거로 로봇에러,서빙포인트옆파티션제거 맵 수정
로봇전원불,로봇전원불,충전방법안대
로봇 방전후 유선 충전불,로봇 방전후 유선 충전불,전원 어댑터 연결 불량
테이블 포인트 추가지정,테이블 포인트 추가지정,테이블 포인트 추가
로봇오작동 교체건,로봇오작동 교체건,오작동 로봇교체
대기장소 2번 변경 요청,대기장소 2번 변경 요청,대기장소 변경 요청
로봇 에러 발생 점검 요청,로봇 에러 발생 점검 요청,테이블 위치 변경예정
전원 충전 불량,전원 충전 불량,어댑터 연결 불량
미세먼지센서 오류,미세먼지센서 오류,미세먼지 센서 오류
통신오류,통신오류,통신오류 파워리부팅
일부구간 주행불가,일부구간 주행불가,라이더 이물질제거
로봇 동작 안함,로봇 동작 안함,
로봇 불량판정 SWAP진행,로봇 불량판정 SWAP진행,SWAP교체
서빙로봇 주행 중 멈춤,서빙로봇 주행 중 멈춤,
로봇경로설정변경요청,로봇경로설정변경요청,금지구역 수정
매장내 리뉴얼인한 재설정 요청,매장내 리뉴얼인한 재설정 요청,매장 리뉴얼로 인한 재설정
로봇 정상적으로 안움직임,로봇 정상적으로 안움직임,
로봇교체,로봇교체,로봇 교체
무선네트웍 재설정,무선네트웍 재설정,무선네트웍재설정
음원변경 요청,음원변경 요청,음원변경
야간현장수배[상품명] 베어로보틱스 서빙로봇_임대형[신고자/연락처] 심수진/010-9124-7935[문의(고장)내용] 테이블 위치 변경 후 로봇이 테이블 번호를 못 찾아서 이용불가[답변(진단)내용] 비즈지원팀 접수[기타],야간현장수배[상품명] 베어로보틱스 서빙로봇_임대형[신고자/연락처] 심수진/010-9124-7935[문의(고장)내용] 테이블 위치 변경 후 로봇이 테이블 번호를 못 찾아서 이용불가[답변(진단)내용] 비즈지원팀 접수[기타],테이블재배치로 인한 로봇목적지 이동시 오류 발생
[상품명]베어로봇[신고자/연락처]한상태01084663282[문의(고장)내용]테이블위치인식못함/금일점검요청_교육있다함[답변(진단)내용]금일회선점검요청[기타],[상품명]베어로봇[신고자/연락처]한상태01084663282[문의(고장)내용]테이블위치인식못함/금일점검요청_교육있다함[답변(진단)내용]금일회선점검요청[기타],로봇 및 에스오더 업로드 재연동
