이슈분류,원인(원인별명),고객조치가능여부
주행 출발 실패,로봇 에러(재부팅 필요),TRUE
주행 출발 실패,매장 내 테이블 배치 변경,TRUE
주행 출발 실패,매장 내 테이블 배치 변경,TRUE
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 출발 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 중 이상행동,로봇 에러(재부팅 필요),
주행 중 이상행동,로봇 에러(재부팅 필요),
주행 중 이상행동,로봇 에러(재부팅 필요),
주행 중 이상행동,로봇 에러(재부팅 필요),TRUE
주행 중 이상행동,매장 내 신규 장애물 발생,TRUE
주행 중 이상행동,매장 내 신규 장애물 발생,TRUE
주행 중 이상행동,매장 내 테이블 배치 변경,TRUE
주행 중 이상행동,매장 내 테이블 배치 변경,TRUE
주행 중 이상행동,매장 내 테이블 배치 변경,TRUE
주행 중 이상행동,매장 내 테이블 배치 변경,TRUE
주행 중 이상행동,문의성,
주행 중 이상행동,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 중 이상행동,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 중 이상행동,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 중 이상행동,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 중 이상행동,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 중 이상행동,충돌,
주행 중 이상행동,충돌,
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,"자율주행 오류(멈춤, 금지구역침범 등)",
주행 복귀 실패,SW / 자율주행,
주행 복귀 실패,라이다 센서 불량,
주행 복귀 실패,로봇 설정 미흡,TRUE
주행 복귀 실패,로봇 설정 미흡,TRUE
주행 복귀 실패,로봇 에러(재부팅 필요),TRUE
주행 복귀 실패,로봇 에러(재부팅 필요),TRUE
주행 복귀 실패,로봇 에러(재부팅 필요),TRUE
주행 복귀 실패,매장 내 신규 장애물 발생,TRUE
주행 복귀 실패,매장 내 신규 장애물 발생,TRUE
주행 복귀 실패,매장 내 테이블 배치 변경,TRUE
주행 복귀 실패,매장 내 테이블 배치 변경,TRUE
주행 복귀 실패,매장 내 테이블 배치 변경,TRUE
주행 복귀 실패,매장 내 테이블 배치 변경,TRUE
주행 복귀 실패,매장 내 테이블 배치 변경,TRUE
주행 복귀 실패,바퀴 불량,
주행 복귀 실패,서비스 매니저 오류(서빙/방역서비스처리),
주행 복귀 실패,서비스 매니저 오류(서빙/방역서비스처리),
주행 복귀 실패,서비스 매니저 오류(서빙/방역서비스처리),
주행 복귀 실패,트레이/적재함 불량,
주행 복귀 실패,트레이/적재함 불량,
